"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CH","2022-05-04","83.3","-1.18","5.91","Whitlock, Garrett",660271,676477,,"foul",,,,,"6","Shohei Ohtani grounds out, second baseman Trevor Story to first baseman Bobby Dalbec.","R","L","R","BOS","LAA","S",,,"3","2",2022,"-1.55","0.86","0.32","2.44",,,,"2","4","Top",,,,,"543877",,,6.608778701854081,-121.05481683255049,-3.221724571758913,-16.58299059661244,24.064090904781608,-23.257197496501593,"3.5","1.62","191","69.1","52","84.5","2068","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.31",,,,,,,,"25","6","Changeup","2","0","0","2","0","2","0","2","Infield shift","Standard","248","0","0"
"SI","2022-05-04","94.0","-1.17","5.79","Whitlock, Garrett",660271,676477,,"foul",,,,,"2","Shohei Ohtani grounds out, second baseman Trevor Story to first baseman Bobby Dalbec.","R","L","R","BOS","LAA","S",,,"3","1",2022,"-1.49","0.99","0.20","2.94",,,,"2","4","Top",,,,,"543877",,,7.003991203493382,-136.73478957230648,-3.919054492354531,-20.30129632677697,30.56315972531854,-19.13031288479047,"3.5","1.62","250","76.6","34","95.5","1953","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.28",,,,,,,,"25","5","Sinker","2","0","0","2","0","2","0","2","Infield shift","Standard","227","0","-0.047"
"SI","2022-05-04","93.0","-1.22","5.79","Whitlock, Garrett",660271,676477,,"foul",,,,,"2","Shohei Ohtani grounds out, second baseman Trevor Story to first baseman Bobby Dalbec.","R","L","R","BOS","LAA","S",,,"3","0",2022,"-1.35","1.14","-0.21","3.15",,,,"2","4","Top",,,,,"543877",,,5.682312774103108,-135.31724178116633,-3.5264876506456826,-17.88750730261961,30.082731870371855,-17.624816779966324,"3.5","1.62","209","89.2","71","94.7","2097","7.3",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.16",,,,,,,,"25","4","Sinker","2","0","0","2","0","2","0","2","Infield shift","Standard","228","0","-0.022"
"CH","2022-05-04","83.3","-1.18","5.88","Whitlock, Garrett",660271,676477,,"ball",,,,,"14","Shohei Ohtani grounds out, second baseman Trevor Story to first baseman Bobby Dalbec.","R","L","R","BOS","LAA","B",,,"2","0",2022,"-1.6","0.95","0.91","2.28",,,,"2","4","Top",,,,,"543877",,,8.126322621305054,-120.95447090130034,-3.6612377655095676,-17.303404200424136,25.183127892989592,-22.36439265853565,"3.5","1.67",,,,"84.7","2002","7.4",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.05",,,,,,,,"25","3","Changeup","2","0","0","2","0","2","0","2","Infield shift","Standard","245","0","0.038"
"CH","2022-05-04","82.0","-1.35","5.83","Whitlock, Garrett",660271,676477,,"ball",,,,,"13","Shohei Ohtani grounds out, second baseman Trevor Story to first baseman Bobby Dalbec.","R","L","R","BOS","LAA","B",,,"1","0",2022,"-1.69","0.63","-0.87","0.90",,,,"2","4","Top",,,,,"543877",,,4.44397168946942,-119.23625593714328,-5.858793574904343,-16.935431346354388,24.79836508645263,-25.190435580059056,"3.5","1.67",,,,"83.1","2021","7.3",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.25",,,,,,,,"25","2","Changeup","2","0","0","2","0","2","0","2","Infield shift","Standard","258","0","0.024"
"SI","2022-05-04","95.0","-1.3","5.83","Whitlock, Garrett",660271,676477,,"ball",,,,,"12","Shohei Ohtani grounds out, second baseman Trevor Story to first baseman Bobby Dalbec.","R","L","R","BOS","LAA","B",,,"0","0",2022,"-1.05","1.57","0.39","4.35",,,,"2","4","Top",,,,,"543877",,,6.945731623145989,-138.1768345101447,-1.7123990871679102,-15.056139746321474,34.14894416538148,-12.0657564794304,"3.58","1.69",,,,"96.5","2126","7.4",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.11",,,,,,,,"25","1","Sinker","2","0","0","2","0","2","0","2","Infield shift","Standard","222","0","0.016"
"CH","2022-05-04","82.9","-1.16","5.92","Whitlock, Garrett",545361,676477,"field_out","hit_into_play",,,,,"8","Mike Trout pops out to first baseman Bobby Dalbec.","R","R","R","BOS","LAA","X","3","popup","2","1",2022,"-1.68","0.7","0.16","2.29",,,,"1","4","Top",159.98,166.63,,,"543877",,,6.419504016067962,-120.52172239612439,-3.211060637264487,-17.633542170594012,23.882119311892257,-24.885719617789736,"3.61","1.72","121","67.2","66","84.2","2110","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.28","0","0","0","1","0","0","3","24","4","Changeup","2","0","0","2","0","2","0","2","Infield shift","Standard","244","0.018","-0.184"
"SI","2022-05-04","95.5","-1.02","5.86","Whitlock, Garrett",545361,676477,,"ball",,,,,"12","Mike Trout pops out to first baseman Bobby Dalbec.","R","R","R","BOS","LAA","B",,,"1","1",2022,"-0.99","1.35","1.13","3.01",,,,"1","4","Top",,,,,"543877",,,8.045241939957036,-138.85649856785733,-4.992019021866963,-14.592496056999165,31.142931096038183,-13.70953043438469,"3.61","1.84",,,,"97","2174","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.29",,,,,,,,"24","3","Sinker","2","0","0","2","0","2","0","2","Infield shift","Standard","221","0","0.034"
"FF","2022-05-04","95.1","-1.18","5.83","Whitlock, Garrett",545361,676477,,"ball",,,,,"11","Mike Trout pops out to first baseman Bobby Dalbec.","R","R","R","BOS","LAA","B",,,"0","1",2022,"-0.98","1.35","-0.92","4.14",,,,"1","4","Top",,,,,"543877",,,2.9595164945014623,-138.4629330319961,-1.8091194784313456,-13.300099868074456,32.3969293383916,-14.689545481731646,"3.61","1.8",,,,"96.6","2109","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.3",,,,,,,,"24","2","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","218","0","0.015"
"SI","2022-05-04","94.4","-1.35","5.7","Whitlock, Garrett",545361,676477,,"called_strike",,,,,"4","Mike Trout pops out to first baseman Bobby Dalbec.","R","R","R","BOS","LAA","S",,,"0","0",2022,"-1.41","1.11","-0.75","2.59",,,,"1","4","Top",,,,,"543877",,,4.783745869786569,-137.31406781651975,-4.92330889900921,-18.886418436300847,31.568899275677413,-17.2636034911794,"3.63","1.82",,,,"95.9","2047","7.3",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.24",,,,,,,,"24","1","Sinker","2","0","0","2","0","2","0","2","Infield shift","Standard","223","0","-0.024"
